unigram,gatsby,alice,austen
them,0.0016224336504750002,0.003071073413278,0.0035147254878190003
see,0.0016224336504750002,0.0024129862532900003,0.001187734820021
time,0.0016224336504750002,0.002595788242176,0.001591726255403
wilson,0.0015222834251370002,0.0,0.0
more,0.001482223335002,0.0017548990933020001,0.002593625015149
way,0.001482223335002,0.002010821877742,0.000864541671716
away,0.001482223335002,0.000914009944428,0.0009534197875
get,0.001482223335002,0.001681778297747,0.000420151092796
would,0.001482223335002,0.0035097981866040002,0.0037894396638790003
two,0.001462193289934,0.001462415911085,0.0010907768755300002
car,0.001462193289934,0.0,0.0
'm,0.0014421632448670002,0.002083942673296,8.079828707631399e-06
'll,0.0014421632448670002,0.001974261479964,8.079828707631399e-06
night,0.0014421632448670002,0.00018280198888500002,0.000282794004767
jordan,0.0014421632448670002,0.0,0.0
not,0.0014221331997990002,0.005301257677683,0.012434856381044001
here,0.001402103154732,0.0017548990933020001,0.000565588009534
new,0.001402103154732,0.00018280198888500002,0.00020199571769000002
go,0.001402103154732,0.001828019888856,0.0008403021855930001
going,0.001402103154732,0.000987130739982,0.00046055023633400006
around,0.001402103154732,0.00010968119333100001,1.6159657415262794e-05
room,0.001402103154732,0.000475285171102,0.0012119743061440001
moment,0.001402103154732,0.0011333723310900001,0.000565588009534
your,0.001382073109664,0.0022667446621810004,0.003668242233264
well,0.001362043064596,0.0022667446621810004,0.0018260412879240002
door,0.001362043064596,0.001060251535536,0.000282794004767
any,0.0013420130195290001,0.0014258555133070002,0.0021734739223520003
something,0.0013219829744610001,0.0006580871599880001,0.000589827495657
through,0.0013219829744610001,0.000511845568879,0.00033935280572
've,0.001301952929394,0.001572097104416,0.0
which,0.001301952929394,0.0017914594910790002,0.004387346988243001
other,0.001301952929394,0.0014258555133070002,0.00170484385731
never,0.001281922884326,0.001681778297747,0.0017856421443860002
turned,0.001281922884326,0.000584966364434,0.00034743263442800005
think,0.001281922884326,0.001937701082187,0.00170484385731
made,0.001261892839258,0.001096811933313,0.001026138245869
hand,0.001261892839258,0.0007677683533190001,0.000210075546398
us,0.001261892839258,0.000511845568879,0.001001898759746
long,0.0012418627941910001,0.001169932728868,0.0009291803013770001
people,0.0012218327491230001,0.000475285171102,0.00040399143538100005
 ,0.0012218327491230001,0.0,0.000323193148305
too,0.001201802704056,0.0009505703422050001,0.001147335676483
very,0.001201802704056,0.005264697279906001,0.003942956409324
where,0.001201802704056,0.000548405966656,0.0007271845836860001
want,0.001181772658988,0.00032904357999400004,0.000355512463135
're,0.00116174261392,0.00138929511553,0.0
voice,0.00116174261392,0.001718338695525,0.00016967640286
again,0.0011216825237850001,0.0029979526177240003,0.001422049852543
their,0.0011016524787180002,0.0019011406844100002,0.0035551246313570003
first,0.0011016524787180002,0.0017914594910790002,0.001179654991314
knew,0.00108162243365,0.000548405966656,0.00046055023633400006
saw,0.001041562343515,0.000511845568879,0.0008241425281780001
face,0.001041562343515,0.000511845568879,0.00021815537510600001
only,0.001021532298447,0.0017914594910790002,0.0017533228295560001
look,0.001021532298447,0.001060251535536,0.00045247040762700004
are,0.0010015022533800002,0.001937701082187,0.0027552215893020004
right,0.0010015022533800002,0.001169932728868,0.00034743263442800005
began,0.0010015022533800002,0.002120503071073,0.00045247040762700004
took,0.0009614421632440001,0.0008774495466510001,0.00042823092150400004
girl,0.0009614421632440001,0.000146241591108,0.00030703349088900003
',0.0009614421632440001,0.001828019888856,0.00043631075021200003
thought,0.0009414121181770001,0.002705469435507,0.0008968609865470001
toward,0.0009414121181770001,0.0,0.0
while,0.0009414121181770001,0.0008774495466510001,0.000614066981779
half,0.0009414121181770001,0.000840889148873,0.000565588009534
sport,0.0009414121181770001,0.0,3.2319314830525595e-05
white,0.0009213820731090001,0.001096811933313,2.423948612289419e-05
