unigram,gatsby,alice,austen
talk,12,14,32
nose,12,8,1
anyhow,12.0,0.0,1.0
arms,12.0,6.0,0.0
play,12,8,18
smiled,12,2,18
leave,12,9,62
kept,12,13,17
jay,12.0,0.0,0.0
killed,12.0,0.0,4.0
coup,12.0,0.0,0.0
dead,12,4,5
mind,11,10,57
quality,11.0,0.0,2.0
wild,11,2,11
wet,11,2,2
middle,11,7,3
fifty,11.0,0.0,6.0
warm,11.0,0.0,6.0
rooms,11.0,0.0,10.0
read,11,11,40
fine,11,2,32
should,11,32,251
enormous,11.0,1.0,0.0
story,11,8,9
lived,11,3,14
dinner,11,2,31
coloured,11.0,0.0,6.0
either,11,10,62
making,11,8,36
couch,11.0,0.0,0.0
wall,11.0,0.0,0.0
having,11,10,94
lips,11,1,9
black,11.0,0.0,1.0
doing,11,5,26
beyond,11.0,0.0,36.0
mine,11,9,15
silver,11.0,0.0,0.0
bad,11,2,15
repeated,11,10,21
glad,11,11,36
rest,11,10,40
station,11,1,2
large,11,33,23
keep,11,11,26
work,11,8,20
saying,11,15,30
lost,11,3,29
voices,11.0,2.0,0.0
parties,11.0,0.0,12.0
lights,11.0,0.0,0.0
phone,11.0,0.0,0.0
tea,11,18,13
sick,11.0,0.0,6.0
gold,10.0,0.0,0.0
move,10,3,3
father,10,6,135
feel,10,8,39
anyone,10.0,0.0,23.0
forget,10,2,17
romantic,10.0,0.0,1.0
dust,10.0,0.0,0.0
line,10,2,8
everybody,10,8,39
breath,10,4,2
second,10,4,25
coming,10,9,60
low,10,15,8
kind,10,7,63
lovely,10,2,3
asleep,10,8,1
glass,10,10,2
moving,10,3,6
fingers,10.0,0.0,3.0
rang,10.0,0.0,1.0
faintly,10,1,1
spoke,10,16,43
everyone,10.0,0.0,6.0
library,10.0,0.0,22.0
forgotten,10,6,12
carraway,10.0,0.0,0.0
silence,10,14,34
trembling,10,6,1
doctor,10.0,0.0,0.0
upstairs,10,1,16
turn,10,11,26
question,10,17,23
mother,10.0,0.0,137.0
real,10,3,31
talking,10,17,40
aware,10.0,0.0,14.0
remembered,10,5,9
funny,10.0,3.0,0.0
conversation,10,9,60
wants,10,2,11
please,10,19,14
happen,10,8,12
gatz,10.0,0.0,0.0
sloane,10.0,0.0,0.0
college,9.0,0.0,0.0
sleep,9,6,3
afraid,9,12,37
series,9.0,1.0,0.0
agreed,9.0,0.0,12.0
twenty,9,3,17
red,9,3,3
wonder,9,18,34
whom,9,1,84
beach,9.0,0.0,0.0
broken,9,6,6
thirty,9.0,0.0,3.0
touch,9.0,1.0,0.0
shadow,9.0,0.0,0.0
sea,9,14,1
corner,9,3,1
slightly,9.0,0.0,4.0
laugh,9,1,18
murmur,9.0,0.0,0.0
complete,9.0,0.0,8.0
ear,9,6,1
listen,9,7,12
wheel,9.0,0.0,0.0
occurred,9,2,14
weeks,9,1,18
watch,9,8,2
answer,9,9,65
taken,9,4,31
terrible,9.0,0.0,0.0
beat,9.0,4.0,0.0
yet,9,22,74
twilight,9.0,0.0,0.0
feeling,9,7,36
true,9,4,26
hesitated,9.0,0.0,3.0
confused,9,4,4
child,9,11,14
darkness,9.0,1.0,0.0
walking,9,5,26
eagerly,9,8,14
taxi,9.0,0.0,0.0
drew,9,5,19
living,9,2,24
drunk,9.0,2.0,0.0
became,9,2,16
kitchen,9,4,1
named,9.0,0.0,1.0
start,9.0,0.0,2.0
stand,9,6,10
exclaimed,9,6,7
sky,9.0,5.0,0.0
nobody,9,8,18
moon,9.0,1.0,0.0
trouble,9,6,21
holding,9,3,2
whose,9,2,59
wire,9.0,0.0,0.0
pause,9,2,18
goodbye,9.0,0.0,0.0
stayed,9.0,0.0,8.0
driving,9.0,0.0,4.0
part,9,2,59
crowd,9,4,1
church,9.0,0.0,11.0
eat,9,18,5
lot,9.0,0.0,2.0
presence,9.0,0.0,6.0
unfamiliar,9.0,0.0,0.0
biloxi,9.0,0.0,0.0
point,8.0,0.0,46.0
human,8.0,0.0,6.0
ten,8,6,32
closed,8,2,6
bay,8.0,0.0,0.0
water,8,5,4
flat,8,2,1
physical,8.0,0.0,0.0
shape,8,1,2
thin,8.0,0.0,5.0
reach,8,4,8
rich,8,1,12
strained,8.0,0.0,0.0
impression,8.0,0.0,7.0
politely,8,6,3
caught,8,3,11
died,8,1,3
quite,8,55,95
done,8,15,92
gay,8,1,2
absolutely,8.0,0.0,18.0
evidently,8,1,5
faded,8.0,0.0,0.0
whereupon,8.0,1.0,0.0
pushed,8.0,0.0,0.0
thinking,8,11,22
silent,8,7,26
poor,8,27,38
opening,8,3,13
houses,8,1,4
meet,8,2,31
dim,8.0,0.0,0.0
hello,8.0,0.0,0.0
soft,8.0,1.0,0.0
lady,8,3,190
buy,8.0,0.0,4.0
crowded,8,5,3
names,8,2,6
smile,8,2,27
try,8,12,12
neither,8,2,38
hardly,8,12,46
music,8,3,12
chauffeur,8.0,0.0,0.0
foot,8,10,1
sorry,8,1,35
during,8.0,0.0,27.0
june,8.0,0.0,3.0
calling,8,1,15
filled,8,3,1
faint,8,1,1
son,8,1,22
months,8.0,0.0,21.0
use,8,18,15
certainly,8,14,73
thick,8.0,1.0,0.0
dan,8.0,0.0,0.0
till,7,21,95
whenever,7,1,22
secret,7,1,6
realized,7.0,0.0,1.0
hope,7,3,121
dreams,7.0,0.0,0.0
today,7.0,1.0,0.0
edge,7,3,2
wide,7,2,3
month,7,2,10
village,7.0,0.0,6.0
leaves,7,6,2
familiar,7.0,0.0,3.0
books,7,2,14
solemn,7,3,5
overhead,7.0,1.0,0.0
neighbour,7,1,8
dollars,7.0,0.0,0.0
played,7,1,1
friends,7,2,55
scarcely,7.0,0.0,45.0
cheerful,7.0,0.0,7.0
clothes,7.0,0.0,13.0
changed,7,8,8
abruptly,7.0,0.0,2.0
fresh,7.0,0.0,9.0
blew,7.0,2.0,0.0
object,7.0,0.0,48.0
given,7,1,55
sad,7,3,4
excitement,7.0,0.0,0.0
fool,7.0,0.0,3.0
else,7,11,42
host,7.0,0.0,0.0
accepted,7.0,0.0,16.0
sharply,7.0,4.0,0.0
remark,7,10,3
impatiently,7,5,5
fellow,7,4,9
control,7.0,0.0,0.0
interrupted,7,9,9
threw,7,2,9
glance,7.0,0.0,7.0
subject,7,6,84
police,7.0,0.0,0.0
show,7,3,8
best,7,12,42
beautiful,7,14,15
often,7,5,90
louisville,7.0,0.0,0.0
engaged,7,1,38
fantastic,7.0,0.0,0.0
ash,7.0,0.0,0.0
above,7,3,21
eckleburg,7.0,0.0,0.0
waiting,7,9,10
scene,7.0,0.0,16.0
jumped,7,6,1
beauty,7.0,0.0,27.0
colour,7.0,0.0,12.0
lower,7,1,4
brown,7,2,1
apartment,7.0,0.0,4.0
urged,7.0,0.0,6.0
park,7.0,0.0,22.0
however,7,20,134
disappeared,7.0,2.0,0.0
hotel,7.0,0.0,1.0
looks,7.0,0.0,13.0
letter,7,3,116
excited,7.0,0.0,11.0
champagne,7.0,0.0,0.0
guests,7,3,1
drawing,7,1,21
servants,7.0,0.0,13.0
sharp,7,6,2
invited,7,2,11
golf,7.0,0.0,0.0
anybody,7.0,0.0,27.0
near,7,15,37
believed,7,1,37
yourself,7,10,49
says,7,4,15
driver,7.0,0.0,0.0
dropped,7,5,6
coffee,7.0,0.0,7.0
order,7,3,7
flowers,7.0,2.0,0.0
klipspringer,7.0,0.0,0.0
wrong,7,5,15
montenegro,7.0,0.0,0.0
noon,7.0,0.0,2.0
help,7,9,41
meyer,7.0,0.0,0.0
hours,7,4,27
gate,7.0,0.0,6.0
newspaper,7.0,0.0,1.0
understood,6,1,13
may,6,14,194
autumn,6.0,0.0,0.0
attention,6.0,0.0,70.0
thousand,6,2,34
floated,6.0,0.0,0.0
supposed,6.0,0.0,26.0
spring,6.0,0.0,5.0
muttered,6.0,2.0,0.0
herself,6,83,227
casually,6.0,0.0,0.0
mint,6.0,0.0,0.0
shining,6.0,1.0,0.0
pair,6,5,2
particular,6,3,27
affair,6,1,18
de,6.0,0.0,39.0
view,6.0,0.0,17.0
history,6,7,4
figure,6,3,8
afterward,6.0,0.0,0.0
reason,6,9,51
leaning,6,2,1
rosy,6.0,0.0,0.0
curtains,6.0,0.0,1.0
dresses,6.0,0.0,1.0
fall,6,7,9
obviously,6.0,0.0,0.0
self,6.0,0.0,24.0
singing,6,2,3
promise,6,1,17
rested,6.0,0.0,1.0
stay,6,5,38
stiff,6.0,1.0,0.0
backward,6.0,0.0,1.0
polite,6.0,0.0,5.0
objected,6.0,0.0,1.0
pleasant,6,1,18
nervous,6,5,4
included,6.0,0.0,2.0
children,6,10,25
within,6,1,34
helped,6.0,1.0,0.0
vanished,6,4,2
able,6,1,54
interested,6.0,0.0,8.0
returned,6,2,45
movement,6.0,0.0,0.0
apparently,6.0,0.0,2.0
finding,6,3,13
loud,6,6,2
stretched,6,2,1
invisible,6.0,0.0,0.0
j,6.0,0.0,0.0
heaps,6.0,0.0,0.0
appeared,6,8,32
piece,6,6,9
damp,6.0,0.0,1.0
row,6.0,2.0,0.0
goes,6,7,2
copy,6.0,0.0,0.0
lavender,6.0,0.0,0.0
distance,6,7,16
bottle,6,10,2
whisky,6.0,0.0,0.0
drawn,6.0,0.0,8.0
